College,Prefix,Number,Title,ND,EI,IC,FQ,SI,AD,DD,ER,WF,WD,WI,EX,CE,Description,Rating
BV,PHSC,3430,Pharmacokinetics and Biopharmaceutics,0,0,0,0,0,1,0,0,0,0,0,0,0,"Focuses on the basic principles and methods of biopharmaceutics and pharmacokinetics. Covers the kinetics of drug absorption, distribution, metabolism, and excretion; linear and nonlinear pharmacokinetics; general concept of one- and two-compartment models with instantaneous (i.v. bolus), zero order (i.v. infusion), or first order (oral administration or i.m. injection) input; evaluation of bioavailability and investigation of the factors affecting drug availability; influence of the route of administration, dosage form, and regimen on bioavailability of drugs; bioequivalence study; multiple dosing kinetics; general approaches to dosage adjustment in renal disease; noncompartmental analysis; and pharmacokinetic-pharmacodynamic modeling.",2
BV,PHTH,1260,The American Healthcare System,0,0,0,0,1,0,0,0,0,0,0,0,0,"Introduces the organization and dynamics of the healthcare system and the role of consumers. Explores basic elements of healthcare including financing, personal insurance, high-risk status, and patient rights within the context of the U.S. system. Central to this exploration is an analysis of healthcare issues requiring informed consent from patients: patient bill of rights, healthcare directives, and the use of a proxy for decision making. Introduces the roles and responsibilities of various healthcare workers within the framework of an interdisciplinary model of healthcare.",4
BV,PHTH,1261,Comparative Healthcare Systems,0,0,0,0,1,0,0,0,0,0,0,0,0,"Designed to enable health profession students to develop a basic understanding of health-delivery systems and key issues confronting healthcare in the United States and in the study country in this study-abroad course. Explores issues such as the affordability of medical care, patient rights, health risks and behaviors, disease prevention, quality and access to care, the growth of managed care and corporate influence on healthcare, new medical technologies, the aging population, the impact of biotechnology, and trends in employment of health professionals. Incorporates self- and group-reflection exercises, Internet and contemporary media exploration, and in-class discussions. Compares and contrasts key healthcare issues in the study country with those in the United States using literature, Internet and contemporary media, observations in the study country, and discussions with guest speakers.",1
BV,PHTH,1270,Introduction to Global Health,0,0,0,0,1,0,0,0,0,0,0,0,0,"Introduces global health in the context of an interdependent and globalized world focusing on four main areas of analysis: infrastructure of global health; diseases; populations; and terms, concepts, and theories. While the focus is on lower-income countries, the course examines issues in a broader global context, underscoring the interconnections between global health disparities and global health policy response. Applies case studies describing interventions to improve healthcare in resource-poor settings in sub-Saharan Africa and elsewhere to help illuminate the actors, diseases, populations, and principles and frameworks for the design of effective global health interventions.",5
BV,PHTH,2210,Foundations of Biostatistics,0,0,0,1,0,1,0,0,0,0,0,0,0,Introduces the fundamental concepts of biostatistics. Offers students an opportunity to learn to apply statistical thinking to practical problems across several health disciplines. Draws examples and readings from clinical and public health literature. Introduces the Stata statistical software package.,1
BV,PHTH,2300,Communication Skills for the Health Professions,0,1,0,0,0,0,1,0,0,0,0,0,0,"Offers students in the health professions an opportunity to learn how to communicate effectively with patients, colleagues, and other professionals. Covers interpersonal communication with patients and families from culturally diverse backgrounds, public speaking and presentations, and communicating as a leader. Requires students to create/prepare and deliver several presentations throughout the semester.",3
BV,PHTH,2301,Communication Skills for the Health Professions—Global,0,1,0,0,0,0,1,0,0,0,0,0,0,"Studies how to communicate effectively with patients, colleagues, and other professionals—regardless of race, culture, or ethnicity—on interpersonal, organizational, and global levels. Introduces traditional and new media health communication strategies, public speaking/presentation techniques, and communication as leaders in a global environment. Compares cultures and healthcare systems in the country of study with the American system by engaging with health professionals, patients, caregivers, and communications and other specialists. Introduces students to art and techniques of health communication for informing and influencing patients, caregivers, and the community-at-large. Offers students in the health professions an opportunity to learn interpersonal, organizational, mass media, and global communication skills to empower individuals to become health literate and participate in their own healthcare. May be repeated without limit.",1
BV,PHTH,2350,Community and Public Health,0,0,0,0,1,0,0,0,0,0,0,0,0,"Provides students with a basic familiarity with and appreciation of public health and community-based methods for improving the health of populations. Explores the purpose and structure of the U.S. public health system, contemporary public health issues such as prevention of communicable diseases, health education, social inequalities in health and healthcare, public health responses to terrorism, and control of unhealthy behaviors like smoking, drinking, drug abuse, and violence.",4
BV,PHTH,2351,Community and Public Health - Global,0,0,0,0,1,0,0,0,0,0,0,0,0,"Offers a basic familiarity with (and appreciation of) public health and community-based methods for improving the health of populations in a global context. Discusses the purposes and structures of the public health systems of the United States and the host country. Explores contemporary public health issues, including the global burden of disease; social determinants of inequalities in health and healthcare; communicable disease detection and management; environmental health risks; nutrition and physical activity; and unhealthy behaviors, such as substance use and violence. Analyzes the application of public health practices and principles to urban health concerns through the use of comparative case studies.",5
BV,PHTH,2616,Rural Health: An Interdisciplinary Seminar,0,0,0,0,1,0,0,0,0,0,0,0,0,"Addresses current issues in rural health. Maine, one of the nation’s most rural states, is the primary case example. Highlights interdisciplinary approaches to identifying priority health concerns, addressing root causes of diseases and poor health and developing sustainable policy and programmatic interventions for improving health outcomes of individuals, families, and communities in rural areas. Reviews models of rural healthcare delivery, rural public health systems and practices, rural public policy and health reform, the role of health technologies in rural practice, and health disparities among vulnerable rural populations (including but not limited to immigrants, migrant workers, older people, people living with disabilities, LGBTQIA+ persons, and indigenous/first peoples). Critically analyzes the complex contextual factors that must be addressed to sustainably improve health outcomes in rural settings.",3
BV,PHTH,4120,Global Perspectives on Discrimination and Health,0,0,1,0,0,0,1,0,0,0,0,0,0,"Explores how discrimination can lead to population-level health disparities among marginalized groups globally. Topics include constructions of social categories, such as race and gender; differences in patterns of disease across populations, both intra- and internationally; how work from various disciplines, such as anthropology, medicine, and public health, inform understanding about how discrimination relates to health; and theoretical models from different disciplines that explain public health disparities.",3
BV,PHTH,4202,Principles of Epidemiology in Medicine and Public Health,1,0,0,0,0,0,0,0,0,0,1,0,0,"Introduces the principles of epidemiology necessary to critically evaluate the published research in medicine, public health, and related fields. Through careful reading of literature, class discussion, and lectures, familiarizes students with the study of design-related considerations that are an indispensable part of interpreting scientific literature. Offers students an opportunity to learn how to recognize critical elements of research design and execution (e.g., loss to follow-up in randomized clinical trials and other cohort designs, selection bias in case control studies, etc.); identify the strengths and limitations of different approaches to research questions; deepen their understanding of causal inference; and recognize the provisional nature of scientific knowledge. Covers issues of statistical methods and data analysis; however, there are no computational requirements.",5
BV,PHTH,4540,Health Education and Program Planning,0,0,0,0,0,0,0,0,0,0,1,0,0,"Offers a writing-intensive course that introduces concepts central to health education and the program-planning process. Examines current public health issues that require intervention through health education or other types of prevention programs. Studies and applies models and theories used in health education and program planning. Offers students an opportunity to conduct a needs assessment; design and plan a program for a public health issue; create a mission statement for the program as well as goals, objectives, and strategies; and design the intervention, develop an evaluation plan, and create a budget and marketing plan. ",5
BV,PHTH,5120,"Race, Ethnicity, and Health in the United States",0,0,1,0,0,0,1,0,0,0,0,0,0,"Explores the role of economic, social, and individual factors in explaining racial and ethnic health disparities and examines intervention approaches to eliminate them. Topics include genetic and social constructions of race and ethnicity, measuring race and ethnicity, and the differences in prevalence and patterns of disease across groups; cultural and structural factors that affect healthcare delivery, such as discrimination, racism, and health status; and public health approaches to prevention and improving healthcare delivery.",5
BV,PHTH,5540,Health Education and Program Planning,0,0,0,0,0,0,0,0,0,0,1,0,0,Focuses on underlying concepts of health education and explores current health education issues that require intervention. Covers program planning models and theories used in health education. Offers students an opportunity to develop a working knowledge of the planning process for health education through the analysis of case studies and by creating a program plan to address a health issue of their choice.,5
BV,PHTH,6200,Principles and History of Urban Health,0,0,0,0,0,0,0,0,0,0,0,0,1,"Focuses on the aspects of urban development and life that impact the health and well-being of city residents. Offers students an opportunity to learn about the impact of migration patterns, built environments, occupational stratification, and other cultural and community contextual factors that impact health status and healthcare access. Examines the level of overall health and healthcare found in urban populations, particularly the urban poor, and the disproportionate impact on racial and ethnic minorities in the United States and elsewhere. Considers public policy approaches for addressing the unique health issues of urban areas. Examines urban health issues both from a national and international perspective.",4
BV,PT,1880,Introduction to Sports Medicine,1,0,0,0,0,0,0,0,0,0,0,0,0,"Offers an introductory course intended for students interested in sports, coaching, medicine, and exercise. Exposes students to the field of sports medicine. Emphasizes orthopedic anatomy, exercise principles, and a basic introduction to prevention of injury and illness related to athletes. Includes a cadaveric lab and lectures.",4
BV,PT,2300,Sociocultural Aspects of Sports Injury,0,0,0,0,0,0,0,0,0,0,0,1,0,"Examines sociocultural aspects of sports injury and rehabilitation including social beliefs, cultures, climates, processes, institutions, and societies. Provides cross-cultural learning opportunities through discussion of the main characteristics of sports injuries with health professional representatives across five different continents (Africa, Asia, Europe, Americas, and Oceania) and an opportunity to participate in an immersive sports medicine experience in a country outside of the United States. Includes various clinical and academic activities at an educational institution and visitation to sports clubs, hospitals, sports injury rehabilitation clinics, and universities.",4
BV,PT,3400,Human Kinesiology,1,0,0,0,0,0,0,0,0,0,0,0,0,"Studies normal movement through the analysis of muscle and joint function. Introduces fundamental examples of pathokinesiology, aberrant motions, and gait and posture. Emphasizes the analysis of the major joints and regions of the body.",3
BV,PT,5133,Kinesiology,1,0,0,0,0,0,0,0,0,0,0,0,0,"Studies normal movement through the analysis of muscle and joint function. Introduces fundamental examples of pathokinesiology, aberrant motions, and postures. Emphasizes analysis of the major joints and regions of the body as related to the field of physical therapy, including aspects of gait analysis. Encourages critical thinking and integrates material learned in prior course work, including, but not limited to, anatomy and physiology.",2
BV,PT,5151,Lab for PT 5150,0,0,0,0,0,1,0,0,0,0,0,0,0,Offers students an opportunity to measure skills of goniometry and manual muscle testing to assess joint mobility and muscle performance. Also covers assessment of posture and gait.,5
BV,PT,5160,Psychosocial Aspects of Healthcare,0,0,0,0,0,0,0,1,0,0,0,0,0,"Examines interpersonal relationships among patients, families, health professionals, and society, with reference to the impact of and reaction to illness and disability. Identifies personal and societal beliefs, values, and attitudes that affect the role of people with illness or disabilities in our culture and the healthcare system; how patients’ beliefs, values, and experiences affect their expectations and interactions with healthcare professionals; and how beliefs, values, and experiences shape professional development and affect relationships with patients.",2
BV,PT,6243,"Health Education, Promotion, and Wellness",0,0,0,0,0,0,1,0,0,0,0,0,0,"Covers health promotion, wellness, disease, impairment, functional limitations, disability, and health risks. Addresses the concept of human difference as a construct relative to behavior theories, lifestyle choices, and health and wellness. Offers learners an opportunity to develop an educational health promotion program for individuals as well as community groups, considering the impact of health disparities, epidemiology, learning styles, barriers, and resources. Offers learners an opportunity to explore a potential consultative role to business, schools, government agencies, and other organizations.",4
BV,SLPA,1101,Introduction to Communication Disorders,1,0,0,0,0,0,0,0,0,0,0,0,0,"Offers an overview of disorders of speech and hearing and their treatment, and a review of normal speech and hearing development. Requires clinical observations of persons with speech, language, and hearing disorders.",4
BV,SLPA,1555,Communication Disorders in Movies,1,0,0,0,0,0,0,0,0,0,0,0,0,"Seeks to increase student understanding of communication disorders through film. By watching Oscar-awarded, Oscar-nominated, and other Hollywood movies, students are offered an opportunity to develop a heightened sensitivity for how society views specific communication disorders. Through related lectures, discussion, structured activities, and assignments, studies the etiology and diagnosis of a variety of communication disorders and how individuals with these disorders may be helped.",2
BV,SLPA,5107,Clinical Procedures,0,0,0,0,0,0,0,0,0,0,1,0,1,"Reviews principles and procedures of the functional analysis of behavior and focuses on the application of behavioral theory and research to speech, language, and hearing training. Emphasizes clinical investigation in the experimental analysis of the behavior of communication disorders and experiences in the application of experimental procedures in assessment and treatment programs.",5
CAMD,ARCH,1110,Fundamental Architectural Representation,0,1,0,0,0,0,0,0,0,0,0,0,0,"Introduces students to architectural representation as a form of documentation, experimentation, and communication through a series of exercises in orthographic, axonometric, and perspectival projection as well as physical and digital modeling. Supports the development of an iterative design methodology by introducing students to the tools of representation. Includes theoretical lectures and workshops in analog and digital media.",2
CAMD,ARCH,1120,Fundamental Architectural Design,1,1,0,0,0,0,0,0,0,0,0,0,0,"Introduces architectural design. Examines a number of approaches to spatial organization, massing, and envelope articulation through the analysis of pertinent case studies as well as through a series of fast-paced design exercises. Offers students an opportunity to develop a single design through a series of design studies that deal with issues of site planning, program, user input, and collective negotiation. Requires a portfolio demonstrating the student’s representational abilities and iterative design process.",5
CAMD,ARCH,1310,"Buildings and Cities, A Global History",0,0,1,0,0,0,1,0,0,0,0,0,0,"Introduces students to architecture, as understood through buildings, cities, and landscapes from antiquity to the present. Studies important monuments in the global history of architecture, as well as tools for analyzing the built environment. Considers buildings in relation to their political, social, economic, and cultural context, and as expressions of diversity in human societies and cultural perspectives. Topics include the language of architecture, architectural drawings, the classical orders, the problem of ornament, construction techniques, materials, site,and the role of the patron. Develops students' eye for composition in two and three dimensions, aesthetic discrimination of detail, ability to see buildings as part of a larger social and cultural fabric, and critical judgment in speaking and writing.",2
CAMD,ARCH,1450,Understanding Design,0,1,0,0,0,0,1,0,0,0,0,0,0,"Introduces undergraduates at all levels to the importance of design thinking as a method of critical inquiry and creative expression. Class meetings include lectures and discussions on the power of design thinking to shape diverse facets of the natural and built environment—from cities and landscapes, to buildings and interiors, to the scale of the human body. In addition to class presentations, hands-on workshops introduce students to a range of tools and tactics for working creatively and iteratively through design and prototyping.",2
